tconst	averageRating	numVotes
tt0000286	5.7	150
tt0000287	5.0	112
tt0000288	5.4	141
tt0000292	5.6	55
tt0000296	5.9	186
tt0000299	5.6	151
tt0000300	6.9	948
tt0000301	4.4	270
tt0000302	5.2	110
tt0000304	6.0	912
tt0000306	5.5	149
tt0000307	5.0	55
tt0000308	5.8	43
tt0000309	6.1	644
tt0000310	7.5	13
tt0000313	5.9	595
tt0000319	6.0	91
tt0000321	4.9	154
tt0000328	7.2	6
tt0000335	6.3	38
tt0000337	5.1	293
tt0000340	5.0	200
tt0000341	4.9	263
tt0000346	4.9	152
tt0000347	4.4	72
tt0000349	5.9	82
tt0000350	5.8	543
tt0000352	6.4	16
tt0000353	5.2	261
tt0000355	6.1	496
tt0000357	5.9	291
tt0000358	6.1	514
tt0000359	7.1	2227
tt0000361	8.1	10
tt0000363	6.4	99
tt0000364	5.4	109
tt0000368	7.0	8
tt0000370	5.5	308
tt0000373	6.1	44
tt0000376	7.8	6
tt0000377	6.5	83
tt0000379	5.2	6
tt0000380	7.2	13
tt0000381	4.1	8
tt0000384	5.8	160
tt0000387	5.1	245
tt0000388	5.2	83
tt0000399	6.1	596
tt0000400	7.0	9
tt0000406	6.2	18
tt0000407	3.8	24
tt0000409	5.2	140
tt0000410	6.7	803
tt0000412	4.1	7
tt0000413	5.5	300
tt0000414	5.3	594
tt0000416	5.5	92
tt0000417	8.2	39330
tt0000420	6.3	2158
tt0000423	5.5	162
tt0000425	5.2	10
tt0000426	5.6	5
tt0000430	6.0	550
tt0000432	5.6	146
tt0000436	6.2	411
tt0000437	5.1	154
tt0000439	7.3	15363
tt0000440	5.4	162
tt0000441	7.0	5
tt0000442	4.7	46
tt0000446	5.7	6
tt0000447	6.4	1857
tt0000451	6.6	644
tt0000452	4.7	77
tt0000455	6.8	1556
tt0000456	4.1	32
tt0000459	4.4	44
tt0000464	4.7	309
tt0000465	7.3	993
tt0000469	5.8	798
tt0000471	5.1	366
tt0000472	6.6	11
tt0000479	5.3	305
tt0000480	5.0	141
tt0000487	7.1	348
tt0000488	6.9	618
tt0000491	3.9	35
tt0000492	4.9	69
tt0000495	6.1	74
tt0000496	6.4	31
tt0000497	5.3	37
tt0000498	6.6	916
tt0000499	7.6	2841
tt0000501	4.8	22
tt0000505	8.1	11
tt0000506	5.8	5
tt0000507	3.8	25
tt0000509	6.5	17
tt0000511	7.1	21
tt0000512	4.5	35
tt0000515	4.8	59
tt0000516	6.6	757
tt0000519	5.7	270
tt0000520	7.0	25
tt0000521	5.5	223
tt0000524	5.7	603
tt0000525	5.4	29
tt0000526	4.3	37
tt0000528	6.7	7
tt0000533	7.5	17
tt0000534	6.6	832
tt0000535	4.9	37
tt0000537	4.0	49
tt0000543	5.2	12
tt0000546	6.7	1542
tt0000548	6.2	5
tt0000550	4.4	8
tt0000552	5.8	30
tt0000553	6.6	234
tt0000554	6.1	976
tt0000555	5.4	10
tt0000557	4.7	86
tt0000561	5.5	24
tt0000565	6.3	398
tt0000567	6.8	797
tt0000570	4.1	31
tt0000571	6.9	46
tt0000574	6.1	523
tt0000575	5.9	353
tt0000576	6.0	180
tt0000578	7.1	10
tt0000582	5.1	547
tt0000583	5.6	19
tt0000584	5.0	44
tt0000586	7.0	5
tt0000591	6.0	5
tt0000597	5.0	46
tt0000598	5.3	21
tt0000599	4.7	7
tt0000601	5.8	6
tt0000602	4.8	142
tt0000609	4.5	11
tt0000610	5.0	10
tt0000613	4.3	7
tt0000614	6.5	778
tt0000615	4.8	14
tt0000617	4.6	16
tt0000621	6.5	474
tt0000627	6.1	14
tt0000628	5.6	608
tt0000629	5.7	29
tt0000630	2.7	10
tt0000632	5.1	27
tt0000634	3.5	6
tt0000637	5.5	496
tt0000638	5.3	28
tt0000639	5.1	36
tt0000640	4.3	64
tt0000641	5.2	90
tt0000642	5.4	22
tt0000644	5.2	17
tt0000645	5.4	84
tt0000648	4.8	89
tt0000651	5.3	24
tt0000653	4.6	135
tt0000654	5.3	32
tt0000658	6.4	148
tt0000659	5.2	28
tt0000660	5.8	17
tt0000661	7.2	9
tt0000662	5.0	13
tt0000663	5.6	14
tt0000665	5.7	14
tt0000666	5.6	19
tt0000668	6.9	18
tt0000669	4.7	95
tt0000671	5.8	8
